Time(s),X,Y,
2.1986e-05,0,0,
0.00194848,0,0,
0.0099388,0,0,
0.0182677,0,0,
0.0266431,0,0,
0.0350031,0,0,
0.0433389,0,0,
0.0516712,0,0,
0.0599966,0,0,
0.0683661,0,0,
0.0766532,0,0,
0.0850003,0,0,
0.0933489,0,0,
0.101667,0,0,
0.110012,0,0,
0.118344,0,0,
0.126663,0,0,
0.135003,0,0,
0.143358,0,0,
0.151674,0,0,
0.160006,0,0,
0.168361,0,0,
0.176658,0,0,
0.185,0,0,
0.193346,0,0,
0.201675,0,0,
0.209999,0,0,
0.218355,0,0,
0.226658,0,0,
0.234958,0,0,
0.24329,0,0,
0.251621,0,0,
0.259957,0,0,
0.268301,0,0,
0.276658,0,0,
0.285013,0,0,
0.293364,0,0,
0.301696,0,0,
0.310011,0,0,
0.318363,0,0,
0.326691,0,0,
0.335037,0,0,
0.343377,0,0,
0.351671,0,0,
0.36003,6.30833,5.45,
0.368352,6.30833,5.45,
0.3767,6.30833,5.45,
0.385039,6.30833,5.45,
0.39337,6.30833,5.45,
0.401706,6.30833,5.45,
0.410024,6.30833,5.45,
0.418388,6.30833,5.45,
0.426746,6.30833,5.45,
0.435049,6.30833,5.45,
0.443416,6.30833,5.45,
0.451691,6.30833,5.45,
0.460032,6.30833,5.45,
0.46839,6.30833,5.45,
0.476701,6.30833,5.45,
0.485034,6.30833,5.45,
0.495643,6.30833,5.45,
0.501707,6.30833,5.45,
0.510036,6.30833,5.45,
0.518438,6.30833,5.45,
0.526718,6.30833,5.45,
0.53508,6.30833,5.45,
0.543423,6.30833,5.45,
0.551728,6.30833,5.45,
0.560054,6.30833,5.45,
0.568451,6.30833,5.45,
0.576742,6.30833,5.45,
0.585057,6.30833,5.45,
0.593397,6.30833,5.45,
0.601743,6.30833,5.45,
0.610058,6.30833,5.45,
0.6184,6.30833,5.45,
0.626767,6.30833,5.45,
0.635076,6.30833,5.45,
0.643437,6.30833,5.45,
0.651777,6.30833,5.45,
0.660079,6.30833,5.45,
0.668434,6.30833,5.45,
0.67674,6.30833,5.45,
0.685084,6.30833,5.45,
0.693418,6.30833,5.45,
0.701762,6.30833,5.45,
0.710096,6.30833,5.45,
0.718431,6.30833,5.45,
0.726801,6.30833,5.45,
0.735091,6.30833,5.45,
0.743424,6.30833,5.45,
0.751748,6.30833,5.45,
0.760079,6.30833,5.45,
0.768428,6.30833,5.45,
0.776752,6.30833,5.45,
0.785097,6.30833,5.45,
